county,total_offenses,crime_against_people,cime_against_property,crime_against_society,year
Trempealeau,274,59,74,141,2022
Vernon,452,104,222,126,2022
Vilas,434,79,168,187,2022
Walworth,765,97,207,461,2022
Washburn,179,44,92,43,2022
Waupaca,276,85,75,116,2022
Waushara,624,82,260,282,2022
Wood,540,158,172,210,2022
Brown,2382,358,1422,602,2023
Calumet,423,75,182,166,2023
Chippewa,631,167,291,173,2023
Columbia,1438,129,225,1084,2023
Dane,1958,488,1087,383,2023
Douglas,438,46,213,179,2023
Eau Claire,721,114,221,386,2023
Fond du Lac,1196,130,289,777,2023
Green,295,75,145,75,2023
Kenosha,1787,301,880,606,2023
Kewaunee,272,85,78,109,2023
La Crosse,412,76,276,60,2023
Marathon,987,207,563,217,2023
Milwaukee,1592,347,430,815,2023
Oconto,603,162,280,161,2023
Outagamie,787,121,496,170,2023
Ozaukee,571,85,162,324,2023
Pierce,380,40,142,198,2023
Racine,1578,204,289,1085,2023
Rock,1152,206,444,502,2023
Sheboygan,1056,240,600,216,2023
St. Croix,719,111,461,147,2023
Vernon,294,83,103,108,2023
Washington,906,90,385,431,2023
Waukesha,1434,289,798,347,2023
Winnebago,674,101,427,146,2023
Adams,409,130,169,110,2023
Barron,305,86,134,85,2023
Buffalo,266,28,40,198,2023
Burnett,548,117,280,151,2023
Clark,372,120,160,92,2023
Crawford,468,80,195,193,2023
Dodge,1021,198,370,453,2023
Door,360,79,126,155,2023
Dunn,483,72,176,235,2023
Grant,507,85,256,166,2023
Green Lake,201,34,43,124,2023
Jackson,501,178,178,145,2023
Jefferson,483,71,144,268,2023
Juneau,463,169,217,77,2023
Lafayette,216,67,92,57,2023
Lincoln,509,227,151,131,2023
Manitowoc,764,101,243,420,2023
Marinette,993,143,180,670,2023
Marquette,302,29,89,184,2023
Menominee,83,2,44,37,2023
Monroe,457,81,110,266,2023
Oneida,738,204,207,327,2023
Polk,604,123,254,227,2023
Portage,635,148,303,184,2023
Price,349,47,149,153,2023
Richland,232,48,83,101,2023
Rusk,234,98,68,68,2023
Sauk,838,162,367,309,2023
Sawyer,440,114,199,127,2023
Shawano,782,156,330,296,2023
Taylor,262,99,106,57,2023
Trempealeau,353,89,100,164,2023
Vilas,364,60,145,159,2023
Walworth,686,101,191,394,2023
Washburn,224,41,107,76,2023
Waupaca,278,80,40,158,2023
Waushara,601,55,273,273,2023
Wood,481,147,191,143,2023
